aX,aY,aZ,gX,gY,gZ
0.234,-0.327,0.403,-68.726,-126.770,-179.260
0.249,-0.404,0.437,-58.777,-124.390,-183.105
0.208,-0.476,0.479,-48.706,-119.019,-188.049
0.204,-0.569,0.521,-32.471,-114.319,-191.895
0.207,-0.647,0.549,-0.793,-107.117,-195.923
0.205,-0.742,0.567,0.366,-102.539,-197.144
0.202,-0.813,0.585,11.230,-98.145,-197.083
0.208,-0.883,0.597,20.386,-97.046,-194.336
0.228,-0.937,0.613,23.437,-97.839,-188.599
0.252,-0.995,0.639,21.729,-100.769,-181.152
0.284,-1.043,0.691,17.639,-105.103,-171.021
0.307,-1.100,0.745,12.329,-109.375,-160.828
0.331,-1.147,0.826,8.667,-111.694,-145.752
0.346,-1.185,0.898,3.845,-112.122,-131.592
0.357,-1.192,0.970,-0.366,-108.948,-113.403
0.331,-0.999,1.119,-7.812,-87.891,-55.542
0.321,-0.915,1.146,-9.094,-82.031,-45.044
0.306,-0.850,1.175,-10.254,-73.608,-37.842
0.283,-0.777,1.195,-11.902,-65.247,-31.433
0.260,-0.719,1.208,-13.306,-55.481,-26.978
0.238,-0.663,1.206,-13.916,-46.753,-22.888
0.221,-0.620,1.184,-13.489,-35.645,-19.897
0.203,-0.572,1.152,-11.963,-27.710,-17.700
0.197,-0.507,1.110,-8.667,-18.982,-16.113
0.180,-0.496,1.068,-5.066,-12.390,-13.672
0.168,-0.460,1.024,-1.465,-6.409,-12.085
0.151,-0.425,0.989,0.977,-1.526,-10.315
0.135,-0.394,0.951,3.967,3.906,-8.972
0.116,-0.358,0.915,6.409,7.385,-7.385
0.102,-0.326,0.876,8.057,11.475,-6.042
0.091,-0.290,0.843,9.888,12.756,-4.211
0.082,-0.262,0.806,8.789,15.137,-2.502
0.070,-0.226,0.775,7.080,15.869,-0.122
0.061,-0.192,0.738,5.188,15.869,1.709
0.049,-0.156,0.713,3.479,16.479,4.211
0.041,-0.124,0.688,1.465,16.235,5.615
0.025,-0.085,0.665,0.061,16.418,6.409
0.007,-0.057,0.643,-0.610,16.235,6.470
-0.010,-0.025,0.622,-1.953,16.296,5.615
-0.028,-0.008,0.607,-2.441,16.418,3.967
-0.037,0.010,0.586,-3.540,15.564,1.709
-0.042,0.016,0.568,-4.761,31.189,-0.854
-0.046,0.017,0.547,-5.005,15.015,-3.296
-0.047,0.016,0.534,-4.272,14.099,-5.798
-0.052,0.019,0.517,-3.967,14.282,-8.118
-0.057,0.022,0.504,-2.869,12.878,-11.536
-0.061,0.021,0.492,-1.709,12.024,-14.282
-0.058,0.016,0.487,-1.160,10.864,-17.578
-0.050,0.010,0.492,0.732,9.277,-20.691
-0.035,-0.006,0.498,0.916,8.972,-23.499
-0.018,-0.021,0.506,1.526,8.057,-24.719
0.001,-0.041,0.510,2.319,8.484,-26.062
0.011,-0.092,0.503,2.625,8.545,-26.184
0.018,-0.081,0.498,3.357,8.911,-25.452
0.027,-0.095,0.493,3.601,7.751,-24.414
0.037,-0.112,0.495,2.380,6.775,-22.583
0.046,-0.120,0.492,2.502,5.493,-19.958
0.054,-0.127,0.487,1.404,4.456,-16.113
0.055,-0.125,0.485,0.061,3.235,-12.756
0.055,-0.121,0.484,-1.221,2.258,-9.460
0.050,-0.116,0.487,-2.258,0.488,-5.920
0.047,-0.104,0.494,-3.357,-0.305,-3.540
0.036,-0.062,0.494,-4.089,-2.319,4.211
0.032,-0.048,0.492,-3.357,-3.113,4.578
0.030,-0.028,0.495,-2.930,-3.479,4.517
0.026,-0.009,0.500,-3.296,-3.418,3.784
0.025,0.007,0.505,-3.296,-3.296,2.747
0.023,0.015,0.501,-3.174,-3.235,1.282
0.023,0.013,0.499,-2.869,-3.174,-0.244
0.021,0.012,0.499,-2.197,-2.991,-1.831
0.024,0.012,0.502,-1.160,-3.418,-3.357
0.022,0.011,0.505,-0.244,-2.686,-4.272
0.023,0.010,0.506,-0.122,-2.502,-5.554
0.023,0.008,0.504,0.183,-2.258,-6.653
0.022,0.009,0.499,0.427,-2.686,-7.629
0.023,0.008,0.501,-0.122,-3.540,-9.277
0.022,0.004,0.504,0.671,-4.517,-10.437
0.027,0.003,0.511,1.282,-5.249,-11.169
0.032,-0.002,0.520,1.099,-5.981,-12.146
0.044,-0.008,0.534,0.549,-6.592,-12.207
0.055,-0.020,0.557,-0.366,-5.493,-11.719
0.068,-0.023,0.573,-1.343,-3.052,-10.559
0.069,-0.026,0.579,-2.258,-0.854,-9.155
0.067,-0.026,0.570,-2.625,1.770,-8.179
0.058,-0.026,0.553,-2.441,2.869,-7.568
0.055,-0.029,0.546,-1.282,2.991,-7.141
0.055,-0.028,0.542,-0.305,2.319,-7.141
0.058,-0.026,0.548,-0.305,2.869,-7.080
0.060,-0.026,0.554,-0.244,3.113,-6.775
0.064,-0.031,0.556,-0.244,4.150,-6.226
0.063,-0.039,0.556,-1.221,3.540,-6.287
0.060,-0.046,0.557,-1.099,4.639,-5.371
0.056,-0.056,0.553,-0.671,5.188,-4.883
0.055,-0.061,0.542,0.183,6.042,-4.517
0.053,-0.065,0.525,1.099,5.249,-3.784
0.052,-0.066,0.515,1.648,4.578,-3.418
0.051,-0.067,0.511,2.563,3.479,-2.441
0.051,-0.064,0.513,3.784,2.136,-1.587
0.053,-0.064,0.519,3.723,1.709,-1.282
0.049,-0.063,0.520,3.357,1.831,-0.732
0.048,-0.063,0.525,4.333,1.709,-0.122
0.043,-0.059,0.524,4.822,2.625,0.488
0.042,-0.055,0.525,5.676,2.686,0.488
0.040,-0.055,0.525,6.409,3.113,0.977
0.040,-0.051,0.524,6.653,4.089,1.526
0.039,-0.045,0.523,7.507,3.418,1.709
0.038,-0.044,0.521,7.812,4.089,2.258
0.038,-0.043,0.522,8.118,3.967,2.747
0.037,-0.040,0.515,8.118,4.578,3.296
0.041,-0.039,0.508,8.423,4.395,3.357
0.043,-0.034,0.502,8.362,3.357,4.700
0.041,-0.029,0.500,9.277,2.991,5.249
0.039,-0.017,0.492,9.277,2.441,5.615
0.039,-0.008,0.485,8.911,2.075,5.249
0.001,0.000,0.487,8.118,0.549,4.700
0.028,0.006,0.487,8.118,-0.061,4.272
0.027,0.009,0.497,7.996,0.122,3.479
0.023,0.011,0.504,8.484,-0.122,2.747
0.025,0.011,0.512,9.277,0.305,1.648
0.024,0.010,0.519,9.399,0.366,0.305
0.024,0.008,0.519,10.376,0.793,-0.427
0.024,0.005,0.519,9.766,0.183,-1.343
0.028,0.008,0.514,8.911,0.183,-2.991
0.035,0.002,0.513,7.507,-0.366,-2.686
0.040,-0.005,0.513,6.165,-0.854,-2.502
0.043,-0.011,0.513,5.005,-1.648,-2.197
0.051,-0.016,0.516,3.540,-2.136,-0.732
0.051,-0.017,0.519,1.526,-2.319,0.183
0.051,-0.019,0.525,1.099,-1.709,1.038
0.051,-0.023,0.531,-0.671,-1.160,1.709
0.048,-0.021,0.530,-0.610,-15.564,2.808
0.047,-0.021,0.528,-0.366,0.000,2.869
0.041,-0.014,0.521,-0.366,1.160,3.723
0.042,-0.011,0.514,-0.549,0.244,3.723
0.042,-0.006,0.507,-1.648,-15.015,3.479
0.042,-0.002,0.505,-1.587,-1.160,3.357
0.043,0.010,0.506,-1.221,-1.160,2.625
0.039,0.015,0.508,-1.770,-2.014,2.197
0.038,0.017,0.512,-2.258,-1.831,1.709
0.043,0.018,0.513,-2.136,-2.563,1.343
0.039,0.018,0.511,-3.113,-1.831,0.122
0.041,0.017,0.509,-3.113,-3.052,-0.183
0.039,0.017,0.510,-2.930,-2.747,-0.610
0.042,0.016,0.515,-3.052,-2.869,-0.977
0.039,0.013,0.514,-3.113,-2.991,-1.465
0.041,0.013,0.516,-2.625,-2.136,-1.709
0.042,0.010,0.517,-2.808,-2.441,-2.075
0.040,0.009,0.518,-3.540,-1.892,-2.991
0.039,0.006,0.517,-3.662,-1.892,-2.991
