aX,aY,aZ,gX,gY,gZ
0.256,-0.154,-0.487,-12.817,-195.557,4.578
0.269,-0.163,-0.472,-7.751,-202.881,3.357
0.284,-0.177,-0.431,-2.075,-212.341,1.587
0.301,-0.197,-0.392,5.066,-218.933,0.488
0.314,-0.215,-0.346,11.292,-226.501,1.038
0.338,-0.225,-0.306,18.494,-233.154,2.869
0.356,-0.231,-0.249,23.926,-241.455,4.883
0.377,-0.234,-0.184,29.968,-248.535,7.446
0.394,-0.227,-0.079,34.973,-256.104,9.155
0.413,-0.202,0.024,39.246,-260.925,11.475
0.431,-0.182,0.137,41.077,-264.771,13.489
0.440,-0.175,0.214,40.955,-267.883,31.067
0.449,-0.171,0.305,41.199,-272.583,18.677
0.526,-0.056,0.726,42.725,-304.504,29.968
0.549,-0.010,0.887,40.833,-307.983,32.288
0.581,0.035,1.091,36.926,-305.176,34.973
0.583,0.092,1.243,32.898,-303.406,35.522
0.579,0.154,1.420,27.466,-299.622,35.400
0.549,0.239,1.537,19.226,-297.485,33.936
0.553,0.296,1.750,13.855,-292.664,28.503
0.547,0.370,1.971,9.155,-281.982,21.545
0.544,0.366,2.153,5.981,-270.203,10.498
0.542,0.370,2.355,5.249,-248.962,2.075
0.551,0.360,2.492,5.432,-226.624,-6.897
0.570,0.348,2.606,8.972,-195.557,-12.878
0.571,0.333,2.641,12.329,-169.067,-18.738
0.559,0.321,2.631,14.709,-140.015,-22.156
0.525,0.302,2.592,14.709,-119.385,-25.574
0.488,0.286,2.528,12.756,-100.281,-27.710
0.459,0.251,2.480,8.240,-88.074,-29.846
0.440,0.220,2.438,3.723,-76.172,-31.738
0.436,0.173,2.420,-1.526,-65.857,-33.142
0.431,0.129,2.401,-5.798,-52.917,-33.142
0.427,0.077,2.377,-9.644,-40.894,-32.471
0.419,0.042,2.318,-13.794,-26.001,-30.701
0.410,0.007,2.248,-18.188,-13.428,-28.503
0.390,-0.012,2.128,-21.484,-0.244,-26.672
0.229,0.004,1.999,-24.414,4.700,-23.926
0.319,-0.046,1.860,-31.189,9.460,-17.273
0.496,-0.039,1.929,-36.072,20.081,-19.958
0.317,-0.032,1.683,-45.044,30.273,-16.846
0.284,-0.112,1.606,-39.978,25.818,-23.682
0.331,-0.177,1.539,-35.767,41.504,-22.888
0.269,-0.139,1.108,-28.076,45.349,0.183
0.237,-0.120,1.064,-27.588,41.626,0.549
0.216,-0.137,1.027,-32.715,39.429,0.000
0.244,-0.159,1.006,-36.560,38.635,1.038
0.226,-0.172,0.981,-36.560,42.542,3.784
0.239,-0.198,0.932,-34.668,45.715,5.981
0.208,-0.202,0.850,-32.349,49.683,9.766
0.195,-0.207,0.831,-27.283,50.171,14.160
0.176,-0.178,0.753,-24.658,51.941,18.005
0.151,-0.150,0.727,-22.400,50.110,20.081
0.117,-0.119,0.683,-20.752,46.265,20.874
0.097,-0.091,0.649,-19.653,41.626,19.836
0.097,-0.064,0.637,-19.226,38.452,18.616
0.097,-0.054,0.624,-19.348,36.438,17.639
0.095,-0.043,0.614,-19.653,35.034,15.930
0.094,-0.028,0.600,-18.127,33.630,15.564
0.094,-0.016,0.589,-17.151,33.142,15.076
0.090,-0.013,0.574,-15.564,32.288,13.672
0.082,-0.005,0.565,-13.916,31.494,12.390
0.056,0.021,0.556,-11.780,31.006,11.230
0.075,-0.003,0.544,-8.240,31.189,9.949
0.076,0.006,0.550,-5.554,33.081,7.874
